AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4227.821,4195.385,4235.256,4268.462,4395.385,4350.128,4352.821,4229.615,4231.538,4220.385,4310.256,4223.205,4359.359,4344.744,7.56
4225.385,4191.795,4231.923,4272.051,4393.462,4352.308,4351.282,4198.333,4208.462,4250.0,4321.282,4234.744,4371.795,4340.769,7.56
4237.821,4221.538,4236.282,4272.692,4396.282,4352.564,4345.0,4239.872,4223.462,4275.897,4326.154,4246.282,4351.282,4328.718,7.56
4236.667,4220.513,4228.59,4263.333,4396.667,4349.744,4341.667,4162.564,4170.513,4314.872,4332.564,4259.103,4333.462,4312.308,7.56
4237.564,4230.513,4234.103,4274.615,4394.359,4348.462,4338.846,4064.872,4126.41,4337.179,4349.231,4289.744,4314.231,4323.59,7.56
4212.308,4228.59,4230.385,4267.949,4392.821,4348.333,4335.641,4039.487,4083.718,4340.0,4349.615,4280.513,4308.846,4342.436,7.56
4225.641,4227.949,4235.256,4272.179,4393.718,4345.897,4336.026,4014.872,4006.154,4353.974,4342.051,4271.154,4317.949,4359.872,7.56
4227.821,4202.436,4234.744,4270.769,4396.538,4346.667,4335.897,3982.308,3977.308,4341.923,4340.128,4272.436,4335.256,4364.359,7.56
4244.744,4223.846,4248.974,4283.59,4396.154,4346.923,4334.615,3992.051,4003.59,4316.154,4339.872,4276.41,4349.487,4377.436,7.56
4236.41,4219.103,4244.231,4273.59,4393.718,4350.385,4342.436,3996.41,3993.462,4295.256,4334.359,4264.231,4372.949,4385.256,7.56
4244.359,4240.0,4243.205,4281.795,4393.205,4351.538,4344.744,4012.179,4008.333,4266.154,4332.436,4254.744,4384.359,4395.513,7.56
4229.744,4227.692,4240.513,4284.231,4393.205,4354.231,4347.564,3991.026,3991.41,4236.795,4323.59,4243.846,4389.744,4395.769,7.56
4231.923,4232.949,4241.795,4278.462,4392.564,4352.949,4351.795,3977.051,3974.103,4223.462,4317.051,4237.308,4409.487,4390.513,7.56
4234.872,4224.615,4238.462,4274.872,4392.692,4351.667,4352.692,4154.872,4155.256,4196.41,4309.359,4214.615,4401.282,4365.897,7.56
4233.718,4229.359,4240.0,4275.513,4390.128,4346.795,4349.615,4262.949,4264.103,4188.974,4301.795,4197.564,4388.718,4352.308,7.56
4229.872,4219.231,4236.923,4270.128,4389.744,4349.872,4355.769,4210.513,4210.256,4206.026,4307.179,4218.205,4377.308,4344.872,7.56
